claim,label,bert_prob,rag_confidence,max_similarity,source_weight_avg,hallucination_flag,sub_claim_count,rag_verdict,rag_raw_confidence
pennsylvania governor signs law expanding wine sales to private stores,1,0.9999741315841675,0.0,0.454,0.9,0.0,1.0,UNVERIFIABLE,0.0
shameful video shows how liberal media democrats entertainment industry coordinated huge lie about trumppushed it out as truth to viewers video,0,3.214907701476477e-05,0.0,0.5569,0.9,0.0,1.0,UNVERIFIABLE,0.0
mother of 7 yr old charged with endangerment for allowing child to play in park across street from home unsupervised for an hour,0,3.0364981284947135e-05,0.0,0.4471,0.9,0.0,1.0,UNVERIFIABLE,0.0
australia's victoria state closer to legalizing assisted death,1,0.9999754428863525,0.0,0.8046,0.9,0.0,1.0,UNVERIFIABLE,0.0
pressure builds on trump to back off wiretap accusations,1,0.9999759197235107,0.0,0.6945,0.9,0.0,1.0,UNVERIFIABLE,0.0
breaking another undercover video released of cnn producer mocking cuomo and calling voters stupid as sht video,0,3.072864274145104e-05,0.0,0.4972,0.9,0.0,1.0,UNVERIFIABLE,0.0
we may already have more than half the republican electors we need to stop donald trump,0,3.0920688004698604e-05,0.0,0.5541,0.9,0.0,1.0,UNVERIFIABLE,0.0
this really happened fox interrupted trump to criticize him and praised obama,0,3.125593502772972e-05,0.0,0.6013,0.9,0.0,1.0,UNVERIFIABLE,0.0
trump fans were scammed for over 1 million and the donald is angry,0,3.0841405532555655e-05,0.0,0.5476,0.9,0.0,1.0,UNVERIFIABLE,0.0
republican senate candidate moore hit by sexual misconduct allegations,1,0.9999738931655884,0.0,0.7631,0.9,0.0,1.0,UNVERIFIABLE,0.0
boom watch ted cruz school progun control liberal on the 2nd amendment,0,3.372808714630082e-05,0.0,0.5189,0.9,0.0,1.0,UNVERIFIABLE,0.0
scotland can still offer choice on independence from uk sturgeon,1,0.999974250793457,0.0,0.7039,0.9,0.0,1.0,UNVERIFIABLE,0.0
senator kirk criticizes fellow republicans on garland boycott,1,0.9999752044677734,0.0,0.5664,0.9,0.0,1.0,UNVERIFIABLE,0.0
heres why mega band u2 is blaming trump for delay of release of new album video,0,3.334844586788677e-05,0.0,0.4237,0.9,0.0,1.0,UNVERIFIABLE,0.0
trump picks longtime friend of beijing as us ambassador to china,1,0.999975323677063,0.0,0.6532,0.9,0.0,1.0,UNVERIFIABLE,0.0
security analyst on mike flynn phone call leaks i would say the obama white house is directly involved in this video,0,3.3371288736816496e-05,0.0,0.6524,0.9,0.0,1.0,UNVERIFIABLE,0.0
house intel committee wants trump jr to appear before panel top democrat,1,0.9999765157699585,0.0,0.639,0.9,0.0,1.0,UNVERIFIABLE,0.0
us judge frees indonesian immigrant held by trump order,1,0.9999747276306152,0.0,0.6347,0.9,0.0,1.0,UNVERIFIABLE,0.0
antiamerican george soros locks arms with nfl against trump,0,3.11412732116878e-05,0.0,0.5318,0.9,0.0,1.0,UNVERIFIABLE,0.0
donald trump even stole the cake design from obamas 2013 inauguration tweets,0,3.15118559228722e-05,0.0,0.544,0.9,0.0,1.0,UNVERIFIABLE,0.0
unreal three republican senators kill republican healthcare bill in midnight vote video,0,3.216640106984414e-05,0.0,0.6478,0.9,0.0,1.0,UNVERIFIABLE,0.0
death toll in collision between tunisian navy and migrant boat reaches 34,1,0.9999768733978271,0.0,0.7253,0.9,0.0,1.0,UNVERIFIABLE,0.0
conservative website only media on tillerson plane to asia,1,0.9999761581420898,0.0,0.5853,0.9,0.0,1.0,UNVERIFIABLE,0.0
justice yahoo settles email privacy classaction 4m for lawyers 0 for users,0,3.115876825177111e-05,0.0,0.5247,0.9,0.0,1.0,UNVERIFIABLE,0.0
trump vows 'phenomenal' tax announcement offers no details,1,0.999976396560669,0.0,0.6754,0.9,0.0,1.0,UNVERIFIABLE,0.0
don't scrap war crimes court us warns kosovo,1,0.9999744892120361,0.0,0.6023,0.9,0.0,1.0,UNVERIFIABLE,0.0
trump to meet with chicago mayor north carolina governor others,1,0.9999754428863525,0.0,0.5382,0.9,0.0,1.0,UNVERIFIABLE,0.0
mexico's strongest quake in 85 years kills dozens in the poor south,1,0.9999754428863525,0.0,0.7367,0.9,0.0,1.0,UNVERIFIABLE,0.0
us labor dept nominee puzder withdraws in blow to trump,1,0.9999747276306152,0.0,0.6208,0.9,0.0,1.0,UNVERIFIABLE,0.0
trumps border wall sht just got real texans receive notices to sell or have their land taken,0,3.0699702620040625e-05,0.0,0.6332,0.9,0.0,1.0,UNVERIFIABLE,0.0
breakingobamas war on cops another cop ambushed and shot 3 times in neck by black man with lengthy criminal history in w st louis,0,3.11978037643712e-05,0.0,0.4672,0.9,0.0,1.0,UNVERIFIABLE,0.0
us worried about hungerstriking cuban dissidents state department,1,0.9999767541885376,0.0,0.6166,0.9,0.0,1.0,UNVERIFIABLE,0.0
no fcks left obama just crushed the last of trumps pride with this sick burn audio,0,3.152908175252378e-05,0.0,0.4647,0.9,0.0,1.0,UNVERIFIABLE,0.0
german president to meet party leaders on thursday,1,0.9999724626541138,0.0,0.6373,0.9,0.0,1.0,UNVERIFIABLE,0.0
racist oprah makes same mistaketwice,0,3.122018460999243e-05,0.0,0.421,0.9,0.0,1.0,UNVERIFIABLE,0.0
this is great one brutal image perfectly captures the hypocrisy of the left,0,3.1836447305977345e-05,0.0,0.4291,0.9,0.0,1.0,UNVERIFIABLE,0.0
house drops military draft requirement for women,1,0.9999759197235107,0.0,0.5039,0.9,0.0,1.0,UNVERIFIABLE,0.0
burn nyt takes jab at fox newswatch how fox got even in a big way video,0,3.1246458092937246e-05,0.0,0.5056,0.9,0.0,1.0,UNVERIFIABLE,0.0
us and iran argue over inspections at nuclear watchdog meeting,1,0.9999744892120361,0.0,0.641,0.9,0.0,1.0,UNVERIFIABLE,0.0
trump is delusional what he just said about his support rallies is beyond fantasy tweet,0,3.1056446459842846e-05,0.0,0.5861,0.9,0.0,1.0,UNVERIFIABLE,0.0
bernie sanders supporters need to support these progressive candidates,0,3.2689174986444414e-05,0.0,0.6161,0.9,0.0,1.0,UNVERIFIABLE,0.0
why isnt this news three black men are taken alive after shooting up school bus with children inside,0,3.102681876043789e-05,0.0,0.4948,0.9,0.0,1.0,UNVERIFIABLE,0.0
is resignation of fbi director imminent as obama appears to be protecting hillary from prosecution,0,3.076509165111929e-05,0.0,0.6427,0.9,0.0,1.0,UNVERIFIABLE,0.0
obama fan club president george clooney tells france theres not going to be a president trump video,0,3.1252777262125164e-05,0.0,0.5255,0.9,0.0,1.0,UNVERIFIABLE,0.0
alec baldwin returns to snl to shower trump with jokes about russian lady pee video,0,3.107392694801092e-05,0.0,0.5159,0.9,0.0,1.0,UNVERIFIABLE,0.0
hollywood is secretly throwing their support behind trump,0,3.187199035892263e-05,0.0,0.5308,0.9,0.0,1.0,UNVERIFIABLE,0.0
greek top court clears way for us extradition of russian cybercrime suspect,1,0.9999759197235107,0.0,0.763,0.9,0.0,1.0,UNVERIFIABLE,0.0
no love lost with daily news after trump wins new hampshire,1,0.9999700784683228,0.0,0.5574,0.9,0.0,1.0,UNVERIFIABLE,0.0
poll shows improvement in brazil president temer's low approval rating,1,0.9999754428863525,0.0,0.8238,0.9,0.0,1.0,UNVERIFIABLE,0.0
with china in mind japan india agree to deepen defense,1,0.999976396560669,0.0,0.5733,0.9,0.0,1.0,UNVERIFIABLE,0.0
paul ryan just gave the most cringeworthy response to trumps illegal voters lie video,0,3.1113988370634615e-05,0.0,0.5891,0.9,0.0,1.0,UNVERIFIABLE,0.0
police examine three envelopes at scottish parliament one thought to contain white powder source,1,0.9999754428863525,0.0,0.6884,0.9,0.0,1.0,UNVERIFIABLE,0.0
republican senator kirk says he wants senate to vote on supreme court nominee,1,0.9999758005142212,0.0,0.7513,0.9,0.0,1.0,UNVERIFIABLE,0.0
what ann coulter just called fox news and ted cruz takes the gop civil war to another level image,0,3.108542659902014e-05,0.0,0.5026,0.9,0.0,1.0,UNVERIFIABLE,0.0
video epa chiefs desperation showing on climate change scam unless you want to debate cigarettes and cancer dont debate about climate change,0,3.2752705010352656e-05,0.0,0.6073,0.9,0.0,1.0,UNVERIFIABLE,0.0
watch hillarys unnecessary response to trumps ad comparing bill clinton to bill cosby video,0,3.087230652454309e-05,0.0,0.5304,0.9,0.0,1.0,UNVERIFIABLE,0.0
watch sean hannity humiliate himself for 2nd night in a row with ludicrous russia conspiracy,0,3.0627012165496126e-05,0.0,0.5566,0.9,0.0,1.0,UNVERIFIABLE,0.0
us lawmakers want 'supercharged' response to north korea nuclear tests,1,0.9999756813049316,0.0,0.6522,0.9,0.0,1.0,UNVERIFIABLE,0.0
pentagon says reviewing 'adjustments' to arms for syrian kurds,1,0.9999762773513794,0.0,0.6537,0.9,0.0,1.0,UNVERIFIABLE,0.0
russia's lavrov calls on us and north korea to start talks ria,1,0.9999759197235107,0.0,0.7772,0.9,0.0,1.0,UNVERIFIABLE,0.0
legal community schools trumps lawyer for claiming collusion is not a crime,0,3.08224989566952e-05,0.0,0.5856,0.9,0.0,1.0,UNVERIFIABLE,0.0
watch teacher busted calling black student a punkass n whos going to get shot video,0,3.079603266087361e-05,0.0,0.4569,0.9,0.0,1.0,UNVERIFIABLE,0.0
nz green party leader in talks with labourled coalition government,1,0.9999741315841675,0.0,0.7359,0.9,0.0,1.0,UNVERIFIABLE,0.0
uae says trump travel ban an internal affair most muslims unaffected,1,0.9999769926071167,0.0,0.6192,0.9,0.0,1.0,UNVERIFIABLE,0.0
youve been trumped trumps response to prez candidate bobby jindals attack on him is epic video,0,3.15608449454885e-05,0.0,0.4796,0.9,0.0,1.0,UNVERIFIABLE,0.0
turkey's erdogan iraqi kurds' decision not to postpone referendum very wrong,1,0.9999756813049316,0.0,0.8059,0.9,0.0,1.0,UNVERIFIABLE,0.0
delusional trump hilariously thinks angela merkel likes him details,0,3.148971882183105e-05,0.0,0.6578,0.9,0.0,1.0,UNVERIFIABLE,0.0
