claim,label,bert_prob,rag_confidence,max_similarity,source_weight_avg,hallucination_flag,sub_claim_count,rag_verdict,rag_raw_confidence
On the Cuba embargo,0,0.31802916526794434,0.0,0.1624,0.82,0.0,1.0,UNVERIFIABLE,0.0
My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer.,1,0.7984364628791809,0.0,0.2244,0.74,0.0,2.0,UNVERIFIABLE,0.0
"""Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.""",1,0.8570065498352051,0.0,0.2281,0.76,0.0,2.0,UNVERIFIABLE,0.0
The state GOP ticket says their top priority is a career-long mission to outlaw abortion in all cases and ban some common forms of birth control.,0,0.47653254866600037,0.0,0.4232,0.82,0.0,2.0,UNVERIFIABLE,0.0
"The Dodd-Frank financial-reform laws hundreds of new rules will force small banks and credit unions to burn up an estimated 2,260,631 labor hours just for compliance.",0,0.5754753947257996,0.0,0.3886,0.82,0.0,2.0,UNVERIFIABLE,0.0
We have the lowest beer tax in the nation.,0,0.8585792779922485,0.5,0.399,0.82,0.0,1.0,UNVERIFIABLE,0.5
"""The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.""",0,0.8787602186203003,0.15000000000000002,0.6529,0.7667,0.0,3.0,FALSE,0.85
"For the first time in over a decade, business leaders around the world have declared that China is no longer the worlds No. 1 place to invest; America is.",1,0.8370073437690735,0.25,0.3335,0.78,0.0,2.0,UNVERIFIABLE,0.25
"Sarah Palin endorsed a Wasilla policy that charged sexual assault victims for their ""rape kits.""",1,0.39107856154441833,0.25,0.3564,0.8,0.0,2.0,UNVERIFIABLE,0.25
"Energy nominee Steven Chu has called coal ""his worst nightmare.""",1,0.5987091064453125,0.15000000000000002,0.2581,0.74,1.0,2.0,FALSE,0.85
"When I was born, less than 10 percent of the federal budget was entitlement spending. Its now 60 percent of the budget.",1,0.8566926121711731,0.19999999999999996,0.5519,0.74,0.0,2.0,FALSE,0.8
The recent process of awarding $3 billion worth of airport vending contracts was the most open and transparent procurement process in the citys history.,1,0.8082193732261658,0.0,0.235,0.76,0.0,2.0,UNVERIFIABLE,0.0
"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",0,0.866554319858551,0.15000000000000002,0.4731,0.8067,0.0,3.0,FALSE,0.85
Tim Kaine urged$500 billion in Medicare cuts.,0,0.28514572978019714,0.5,0.3767,0.82,0.0,1.0,UNVERIFIABLE,0.5
Barack Obama is only the second Democrat in the last 75 years to win Ohio twice with more than 50 percent of the vote.,1,0.8699053525924683,0.15000000000000002,0.4851,0.76,0.0,2.0,FALSE,0.85
"For the cost of $5 vanilla soy latte a day, you can get a sweet health insurance plan to match.",1,0.7752054929733276,0.5,0.2606,0.78,0.0,2.0,UNVERIFIABLE,0.5
"Says nearly 30,000 federal employees in Oregon were furloughed during the government shutdown.",0,0.6545403003692627,0.25,0.2999,0.82,0.0,2.0,UNVERIFIABLE,0.25
A provision of the Senate immigration bill would require you to have government permission to get a second job.,1,0.42841774225234985,0.3333,0.3197,0.7667,0.0,3.0,UNVERIFIABLE,0.3333
ISIS is going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.,0,0.31850960850715637,0.25,0.2098,0.765,0.0,2.0,UNVERIFIABLE,0.25
America produces more oil and gas than any other nation in the world.,1,0.8387609720230103,0.65,0.5746,0.74,0.0,2.0,UNVERIFIABLE,0.65
